time,spent,allocation
476,41748,10437
477,41748,10437
478,41748,10437
479,41748,10437
480,41748,10437
481,41748,10437
482,41748,10437
483,41748,10437
484,41748,10437
485,41748,10437
486,41748,10437
487,41748,10437
488,41748,10437
489,41748,10437
490,41748,10437
491,41748,10437
492,41748,10437
493,41748,10437
494,41748,10437
495,41748,10437
496,41748,10437
497,41748,10437
498,41748,10437
499,41748,10437
500,41748,10437
501,41748,10437
502,41748,10437
503,41748,10437
504,41748,10437
505,41748,10437
506,41748,10437
507,41748,10437
508,41748,10437
509,41748,10437
510,41748,10437
511,41748,10437
512,41748,10437
513,41748,10437
514,41748,10437
515,41748,10437
516,41748,10437
517,41748,10437
518,41748,10437
519,41748,10437
520,41748,10437
521,41748,10437
522,41748,10437
523,41748,10437
524,41748,10437
525,41748,10437
526,41748,10437
527,41748,10437
528,41748,10437
529,41748,10437
530,41748,10437
531,41748,10437
532,41748,10437
533,41748,10437
534,41748,10437
535,41748,10437
536,41748,10437
537,41748,10437
538,41748,10437
539,41748,10437
540,41748,10437
541,41748,10437
542,41748,10437
543,41748,10437
544,41748,10437
545,41748,10437
546,41748,10437
547,41748,10437
548,41748,10437
549,41748,10437
550,41748,10437
551,41748,10437
552,41748,10437
553,41748,10437
554,41748,10437
555,41748,10437
556,41748,10437
557,41748,10437
558,41748,10437
559,41748,10437
560,41748,10437
561,41748,10437
562,41748,10437
563,41748,10437
564,41748,10437
565,41748,10437
566,41748,10437
567,41748,10437
568,41748,10437
569,41748,10437
570,41748,10437
571,41748,10437
572,41748,10437
573,41748,10437
574,41748,10437
575,41748,10437
576,41748,10437
577,41748,10437
578,41748,10437
579,41748,10437
580,41748,10437
581,41748,10437
582,41748,10437
583,41748,10437
584,41748,10437
585,41748,10437
586,41748,10437
587,41748,10437
588,41748,10437
589,41748,10437
590,41748,10437
591,41748,10437
592,41748,10437
593,41748,10437
594,41748,10437
595,41748,10437
596,41748,10437
597,41748,10437
598,41748,10437
599,41748,10437
600,41748,10437
601,41748,10437
602,41748,10437
603,41748,10437
604,41748,10437
605,41748,10437
606,41748,10437
607,41748,10437
608,41748,10437
609,41748,10437
610,41748,10437
611,41748,10437
612,41748,10437
613,41748,10437
614,41748,10437
615,41748,10437
616,41748,10437
617,41748,10437
618,41748,10437
619,41748,10437
620,41748,10437
621,41748,10437
622,41748,10437
623,41748,10437
624,41748,10437
625,41748,10437
626,41748,10437
627,41748,10437
628,41748,10437
629,41748,10437
630,41748,10437
631,41748,10437
632,41748,10437
633,41748,10437
634,41748,10437
635,41748,10437
636,41748,10437
637,41748,10437
638,41748,10437
639,41748,10437
640,41748,10437
641,41748,10437
642,41748,10437
643,41748,10437
644,41748,10437
645,41748,10437
646,41748,10437
647,41748,10437
648,41748,10437
649,41748,10437
650,41748,10437
651,41748,10437
652,41748,10437
653,41748,10437
654,41748,10437
655,41748,10437
656,41748,10437
657,41748,10437
658,41748,10437
659,41748,10437
660,41748,10437
661,41748,10437
662,41748,10437
663,41748,10437
664,41748,10437
665,41748,10437
666,41748,10437
667,41748,10437
668,41748,10437
669,41748,10437
670,41748,10437
671,41748,10437
672,41748,10437
673,41748,10437
674,41748,10437
675,41748,10437
676,41748,10437
677,41748,10437
678,41748,10437
679,41748,10437
680,41748,10437
681,41748,10437
682,41748,10437
683,41748,10437
684,41748,10437
685,41748,10437
686,41748,10437
687,41748,10437
688,41748,10437
689,41748,10437
690,41748,10437
691,41748,10437
692,41748,10437
693,41748,10437
694,41748,10437
695,41748,10437
696,41748,10437
697,41748,10437
698,41748,10437
699,41748,10437
700,41748,10437
701,41748,10437
702,41748,10437
703,41748,10437
704,41748,10437
705,41748,10437
706,41748,10437
707,41748,10437
708,41748,10437
709,41748,10437
710,41748,10437
711,41748,10437
712,41748,10437
713,41748,10437
714,41748,10437
715,41748,10437
716,41748,10437
717,41748,10437
718,41748,10437
719,41748,10437
720,41748,10437
721,41748,10437
722,41748,10437
723,41748,10437
724,41748,10437
725,41748,10437
726,41748,10437
727,41748,10437
728,41748,10437
729,41748,10437
730,41748,10437
731,41748,10437
732,41748,10437
733,41748,10437
734,41748,10437
735,41748,10437
736,41748,10437
737,41748,10437
738,41748,10437
739,41748,10437
740,41748,10437
741,41748,10437
742,41748,10437
743,41748,10437
744,41748,10437
745,41748,10437
746,41748,10437
747,41748,10437
748,41748,10437
749,41748,10437
750,41748,10437
751,41748,10437
752,41748,10437
753,41748,10437
754,41748,10437
755,41748,10437
756,41748,10437
757,41748,10437
758,41748,10437
759,41748,10437
760,41748,10437
761,41748,10437
762,41748,10437
763,41748,10437
764,41748,10437
765,41748,10437
766,41748,10437
767,41748,10437
768,41748,10437
769,41748,10437
770,41748,10437
771,41748,10437
772,41748,10437
773,41748,10437
774,41748,10437
775,41748,10437
776,41748,10437
777,41748,10437
778,41748,10437
779,41748,10437
780,41748,10437
781,41748,10437
782,41748,10437
783,41748,10437
784,41748,10437
785,41748,10437
786,41748,10437
787,41748,10437
788,41748,10437
789,41748,10437
790,41748,10437
791,41748,10437
792,41748,10437
793,41748,10437
794,41748,10437
795,41748,10437
796,41748,10437
797,41748,10437
798,41748,10437
799,41748,10437
800,41748,10437
801,41748,10437
802,41748,10437
803,41748,10437
804,41748,10437
805,41748,10437
806,41748,10437
807,41748,10437
808,41748,10437
809,41748,10437
810,41748,10437
811,41748,10437
812,41748,10437
813,41748,10437
814,41748,10437
815,41748,10437
816,41748,10437
817,41748,10437
818,41748,10437
819,41748,10437
820,41748,10437
821,41748,10437
822,41748,10437
823,41748,10437
824,41748,10437
825,41748,10437
826,41748,10437
827,41748,10437
828,41748,10437
829,41748,10437
830,41748,10437
831,41748,10437
832,41748,10437
833,41748,10437
834,41748,10437
835,41748,10437
836,41748,10437
837,41748,10437
838,41748,10437
839,41748,10437
840,41748,10437
841,41748,10437
842,41748,10437
843,41748,10437
844,41748,10437
845,41748,10437
846,41748,10437
847,41748,10437
848,41748,10437
849,41748,10437
850,41748,10437
851,41748,10437
852,41748,10437
853,41748,10437
854,41748,10437
855,41748,10437
856,41748,10437
857,41748,10437
858,41748,10437
859,41748,10437
860,41748,10437
861,41748,10437
862,41748,10437
863,41748,10437
864,41748,10437
865,41748,10437
866,41748,10437
867,41748,10437
868,41748,10437
869,41748,10437
870,41748,10437
871,41748,10437
872,41748,10437
873,41748,10437
874,41748,10437
875,41748,10437
876,41748,10437
877,41748,10437
878,41748,10437
879,41748,10437
880,41748,10437
881,41748,10437
882,41748,10437
883,41748,10437
884,41748,10437
885,41748,10437
886,41748,10437
887,41748,10437
888,41748,10437
889,41748,10437
890,41748,10437
891,41748,10437
892,41748,10437
893,41748,10437
894,41748,10437
895,41748,10437
896,41748,10437
897,41748,10437
898,41748,10437
899,41748,10437
900,41748,10437
901,41748,10437
902,41748,10437
903,41748,10437
904,41748,10437
905,41748,10437
906,41748,10437
907,41748,10437
908,41748,10437
909,41748,10437
910,41748,10437
911,41748,10437
912,41748,10437
913,41748,10437
914,41748,10437
915,41748,10437
916,41748,10437
917,41748,10437
918,41748,10437
919,41748,10437
920,41748,10437
921,41748,10437
922,41748,10437
923,41748,10437
924,41748,10437
925,41748,10437
926,41748,10437
927,41748,10437
928,41748,10437
929,41748,10437
930,41748,10437
931,41748,10437
932,41748,10437
933,41748,10437
934,41748,10437
935,41748,10437
936,41748,10437
937,41748,10437
938,41748,10437
939,41748,10437
940,41748,10437
941,41748,10437
942,41748,10437
943,41748,10437
944,41748,10437
945,41748,10437
946,41748,10437
947,41748,10437
948,41748,10437
949,41748,10437
950,41748,10437
951,41748,10437
952,41748,10437
953,41748,10437
954,41748,10437
955,41748,10437
956,41748,10437
957,41748,10437
958,41748,10437
959,41748,10437
960,41748,10437
961,41748,10437
962,41748,10437
963,41748,10437
964,41748,10437
965,41748,10437
